timestamp,iso_time,cpu_percent,ram_percent,gpu_percent
1762624951.3023973,2025-11-08T18:02:31.302397,51.5,50.1,0.0
1762624952.9215934,2025-11-08T18:02:32.921593,62.1,49.9,0.0
1762624954.2823658,2025-11-08T18:02:34.282366,54.7,50.1,0.0
1762624955.6970248,2025-11-08T18:02:35.697025,33.9,49.9,0.0
1762624956.9871783,2025-11-08T18:02:36.987178,69.8,49.9,0.0
1762624958.378303,2025-11-08T18:02:38.378303,44.4,49.9,0.0
1762624959.7140522,2025-11-08T18:02:39.714052,49.0,50.1,0.0
1762624961.1387312,2025-11-08T18:02:41.138731,60.2,50.1,0.0
1762624962.641042,2025-11-08T18:02:42.641042,54.6,49.8,0.0
1762624964.0708828,2025-11-08T18:02:44.070883,63.5,49.6,0.0
1762624965.419609,2025-11-08T18:02:45.419609,41.9,49.4,0.0
1762624966.6701317,2025-11-08T18:02:46.670132,22.8,49.4,0.0
1762624968.0551565,2025-11-08T18:02:48.055156,43.1,49.3,0.0
1762624969.3172498,2025-11-08T18:02:49.317250,23.2,49.3,0.0
1762624970.6629667,2025-11-08T18:02:50.662967,26.7,49.3,0.0
1762624971.9597452,2025-11-08T18:02:51.959745,30.5,49.3,0.0
1762624973.22075,2025-11-08T18:02:53.220750,34.6,49.3,0.0
1762624974.6157622,2025-11-08T18:02:54.615762,31.6,49.3,0.0
1762624975.9043036,2025-11-08T18:02:55.904304,41.5,49.3,0.0
1762624977.4849312,2025-11-08T18:02:57.484931,40.0,49.5,0.0
1762624978.7705178,2025-11-08T18:02:58.770518,63.8,49.8,0.0
1762624980.2531843,2025-11-08T18:03:00.253184,53.7,49.7,0.0
1762624981.5316617,2025-11-08T18:03:01.531662,31.7,49.8,0.0
1762624982.7909322,2025-11-08T18:03:02.790932,23.8,49.8,0.0
1762624984.152918,2025-11-08T18:03:04.152918,26.8,49.8,0.0
1762624985.4407196,2025-11-08T18:03:05.440720,24.4,49.3,0.0
1762624986.8259106,2025-11-08T18:03:06.825911,51.7,49.5,0.0
1762624988.2197084,2025-11-08T18:03:08.219708,36.4,49.5,0.0
1762624989.53159,2025-11-08T18:03:09.531590,46.6,50.0,0.0
1762624990.9494498,2025-11-08T18:03:10.949450,39.6,50.0,0.0
1762624992.223154,2025-11-08T18:03:12.223154,17.8,50.0,0.0
1762624993.5221524,2025-11-08T18:03:13.522152,29.7,49.9,0.0
